tag_name,tag_id,Frequency
Books Read By Year,59812,59812
Owned Books,44351,44351
Ebooks,37090,37090
Favorite,35534,35534
Audio Books,32747,32747
Fiction,26252,26252
Science Fiction & Fantasy,20111,20111
Children Books,18314,18314
Young-Adult,12035,12035
to-read,9834,9834
currently-reading,9631,9631
library,9328,9328
Crime & Mystery,9222,9222
to-buy,8560,8560
default,8147,8147
my-books,7440,7440
wish-list,7110,7110
my-library,6880,6880
adult,6548,6548
novels,5558,5558
contemporary,5239,5239
series,5032,5032
books,4723,4723
Non-Fiction,4579,4579
book-club,4325,4325
Young-Adult-Fiction,4309,4309
fantasy,4212,4212
romance,4182,4182
abandoned,4121,4121
novel,3998,3998
re-read,3856,3856
have,3829,3829
adventure,3627,3627
borrowed,3606,3606
english,3602,3602
did-not-finish,3397,3397
Historical Fiction,3300,3300
maybe,3212,3212
drama,2999,2999
Women Book List,2923,2923
literature,2912,2912
classics,2744,2744
dnf,2653,2653
5-stars,2570,2570
finished,2560,2560
paperback,2542,2542
historical,2497,2497
thriller,2496,2496
american,2454,2454
suspense,2398,2398
reviewed,2373,2373
4-stars,2368,2368
unfinished,2298,2298
home-library,2289,2289
library-books,2282,2282
action,2160,2160
family,2149,2149
humor,2135,2135
History,2093,2093
calibre,2069,2069
didn-t-finish,2014,2014
to-read-fiction,1983,1983
nook,1978,1978
library-book,1967,1967
chick-lit,1967,1967
20th-century,1935,1935
paranormal,1925,1925
school,1917,1917
classic,1907,1907
magic,1877,1877
mystery-thriller,1848,1848
supernatural,1825,1825
recommended,1811,1811
bookclub,1752,1752
want-to-read,1731,1731
tbr,1700,1700
unread,1681,1681
funny,1659,1659
bookshelf,1627,1627
love,1595,1595
part-of-a-series,1571,1571
mystery-suspense,1551,1551
books-i-have,1541,1541
mysteries,1457,1457
need-to-buy,1448,1448
must-read,1441,1441
read-in-english,1388,1388
Young-Adult-Fantasy,1387,1387
literary,1365,1365
horror,1352,1352
thrillers,1343,1343
reread,1343,1343
british,1299,1299
on-my-shelf,1295,1295
coming-of-age,1261,1261
friendship,1233,1233
Science,1228,1228
listened-to,1220,1220
on-hold,1194,1194
general,1177,1177
action-adventure,1135,1135
humour,1118,1118
contemporary-romance,1104,1104
biography,1098,1098
high-school,1089,1089
to-read-non-fiction,1061,1061
3-stars,1037,1037
philosophy,1034,1034
usa,1030,1030
war,1028,1028
shelfari-wishlist,1028,1028
first-in-series,1023,1023
suspense-thriller,1019,1019
stand-alone,1011,1011
comedy,1010,1010
england,1008,1008
detective,990,990
female-author,990,990
book-club-books,976,976
personal-library,963,963
my-bookshelf,957,957
book-group,950,950
crime-fiction,944,944
other,942,942
youth,930,930
relationships,920,920
couldn-t-finish,909,909
middle-grade,909,909
memoir,899,899
gave-up-on,891,891
american-literature,882,882
crime-thriller,882,882
religion,875,875
want,857,857
mine,843,843
overdrive,837,837
paranormal-romance,836,836
to-re-read,825,825
arc,821,821
dark,819,819
murder,818,818
psychology,802,802
to-read-nonfiction,800,800
politics,776,776
europe,771,771
middle-school,771,771
sff,762,762
hardcover,760,760
dystopian,750,750
sf,749,749
read-for-school,748,748
biography-memoir,747,747
classic-literature,743,743
memoirs,740,740
biographies,718,718
female-authors,714,714
21st-century,714,714
dystopia,711,711
lit,704,704
non-fic,702,702
first-reads,697,697
short-stories,697,697
inspirational,677,677
thriller-suspense,665,665
college,653,653
autobiography,651,651
for-school,647,647
humorous,642,642
never-finished,636,636
mystery-thrillers,631,631
vampires,631,631
guilty-pleasures,630,630
